iter	Passed	Remaining
239	986	3123
240	989	3115
241	992	3107
242	994	3099
243	997	3091
244	1001	3085
245	1004	3077
246	1006	3069
247	1009	3061
248	1012	3053
249	1015	3045
250	1018	3038
251	1021	3031
252	1024	3023
253	1026	3016
254	1030	3011
255	1033	3004
256	1037	2998
257	1040	2992
258	1043	2985
259	1046	2977
260	1049	2970
261	1052	2963
262	1054	2956
263	1057	2948
264	1060	2941
265	1063	2934
266	1066	2927
267	1069	2920
268	1072	2913
269	1075	2906
270	1078	2899
271	1080	2892
272	1083	2885
273	1086	2879
274	1089	2873
275	1092	2867
276	1096	2862
277	1100	2856
278	1108	2865
279	1111	2858
280	1114	2852
281	1117	2846
282	1120	2840
283	1124	2834
284	1127	2827
285	1130	2822
286	1133	2815
287	1135	2808
288	1139	2802
289	1142	2796
290	1145	2791
291	1148	2784
292	1151	2778
293	1154	2772
294	1157	2766
295	1160	2760
296	1163	2754
297	1166	2747
298	1169	2741
299	1172	2735
300	1175	2729
301	1178	2722
302	1180	2716
303	1183	2710
304	1186	2704
305	1189	2698
306	1193	2693
307	1196	2687
308	1199	2681
309	1202	2675
310	1205	2669
311	1207	2663
312	1210	2657
313	1213	2651
314	1216	2645
315	1219	2639
316	1222	2633
317	1225	2627
318	1227	2621
319	1230	2615
320	1233	2610
321	1236	2603
322	1239	2598
323	1242	2593
324	1245	2587
325	1248	2581
326	1251	2575
327	1254	2570
328	1257	2564
329	1260	2558
330	1263	2552
331	1266	2547
332	1269	2542
333	1272	2537
334	1291	2563
335	1294	2558
336	1298	2554
337	1301	2548
338	1303	2542
339	1306	2536
340	1309	2530
341	1312	2525
342	1315	2519
343	1318	2514
344	1321	2508
345	1324	2503
346	1327	2497
347	1330	2492
348	1333	2487
349	1336	2481
350	1339	2476
351	1342	2470
352	1344	2465
353	1347	2459
354	1350	2453
355	1353	2448
356	1356	2442
357	1358	2437
358	1361	2431
359	1364	2425
360	1367	2420
361	1370	2415
362	1373	2409
363	1383	2417
364	1386	2412
365	1389	2406
366	1392	2401
367	1395	2395
368	1397	2390
369	1400	2384
370	1403	2379
371	1406	2374
372	1409	2368
373	1411	2363
374	1414	2357
375	1417	2352
376	1420	2347
377	1422	2341
378	1425	2336
379	1428	2331
380	1444	2347
381	1447	2341
382	1450	2336
383	1460	2343
384	1463	2337
385	1466	2332
386	1469	2326
387	1477	2329
388	1480	2325
389	1483	2320
390	1487	2316
391	1490	2312
392	1494	2307
393	1496	2302
394	1500	2297
395	1503	2292
396	1506	2287
397	1508	2282
398	1521	2292
399	1524	2287
400	1527	2281
401	1530	2276
402	1533	2271
403	1536	2266
404	1539	2261
405	1541	2255
406	1544	2250
407	1547	2245
408	1550	2240
409	1553	2235
410	1555	2229
411	1559	2225
412	1562	2220
413	1564	2214
414	1567	2209
415	1570	2204
416	1573	2199
417	1576	2194
418	1579	2189
419	1582	2184
420	1598	2198
421	1600	2192
422	1603	2187
423	1606	2182
424	1609	2176
425	1612	2172
426	1614	2167
427	1617	2162
428	1620	2157
429	1623	2152
430	1626	2147
431	1629	2142
432	1632	2137
433	1635	2132
434	1638	2127
435	1641	2123
436	1644	2118
437	1647	2113
438	1649	2108
439	1660	2113
440	1675	2124
441	1678	2119
442	1691	2126
443	1694	2121
444	1697	2116
445	1700	2112
446	1703	2107
447	1706	2102
448	1708	2097
449	1711	2092
450	1714	2087
451	1717	2082
452	1721	2078
453	1725	2074
454	1728	2069
455	1730	2064
456	1733	2060
457	1737	2056
458	1740	2051
459	1743	2046
460	1752	2049
461	1755	2044
462	1758	2039
463	1760	2034
464	1764	2029
465	1766	2024
466	1770	2020
467	1773	2015
468	1783	2019
469	1786	2014
470	1789	2009
471	1792	2005
472	1795	2000
473	1798	1996
474	1801	1991
475	1804	1986
476	1807	1981
477	1809	1976
478	1812	1971
479	1815	1966
480	1818	1962
481	1821	1957
482	1824	1952
483	1827	1948
484	1830	1943
485	1834	1939
486	1845	1944
487	1848	1939
488	1851	1934
489	1853	1929
490	1856	1924
491	1859	1920
492	1862	1915
493	1865	1910
494	1867	1905
495	1870	1900
496	1873	1896
497	1876	1891
498	1890	1898
499	1893	1893
500	1896	1888
501	1899	1884
502	1905	1882
503	1908	1878
504	1911	1873
505	1914	1868
506	1917	1864
507	1919	1859
508	1922	1854
509	1925	1850
510	1928	1845
511	1931	1841
512	1934	1836
513	1937	1832
514	1940	1827
515	1943	1822
516	1946	1818
517	1948	1813
518	1951	1808
519	1954	1804
520	1957	1800
521	1960	1795
522	1963	1791
523	1966	1786
524	1969	1781
525	1972	1777
526	1974	1772
527	1977	1768
528	1980	1763
529	1984	1759
530	1986	1754
531	1989	1750
532	1992	1745
533	1995	1741
534	1998	1736
535	2000	1732
536	2003	1727
537	2006	1722
538	2009	1718
539	2012	1714
540	2015	1710
541	2019	1706
542	2022	1702
543	2026	1698
544	2044	1706
545	2047	1702
546	2050	1697
547	2053	1693
548	2055	1688
549	2059	1685
550	2075	1691
551	2078	1686
552	2081	1682
553	2083	1677
554	2086	1673
555	2089	1668
556	2092	1664
557	2095	1660
558	2098	1655
559	2101	1651
560	2104	1646
561	2107	1642
562	2110	1638
563	2113	1633
564	2116	1629
565	2118	1624
566	2137	1632
567	2140	1627
568	2143	1623
569	2146	1619
570	2149	1614
571	2152	1610
572	2155	1606
573	2158	1602
574	2161	1597
575	2164	1593
576	2167	1588
577	2170	1584
578	2173	1580
579	2189	1585
580	2193	1581
581	2196	1577
582	2199	1573
583	2202	1568
584	2205	1564
585	2208	1559
586	2211	1556
587	2214	1551
588	2224	1552
589	2227	1548
590	2230	1543
591	2233	1539
592	2236	1534
593	2239	1530
594	2242	1526
595	2244	1521
596	2247	1517
597	2250	1512
598	2253	1508
599	2256	1504
600	2259	1499
601	2261	1495
602	2264	1490
603	2267	1486
604	2270	1482
605	2273	1477
606	2275	1473
607	2278	1469
608	2281	1464
609	2284	1460
610	2287	1456
611	2289	1451
612	2292	1447
613	2295	1443
614	2298	1438
615	2301	1434
616	2304	1430
617	2307	1426
618	2310	1422
619	2313	1417
620	2315	1413
621	2318	1409
622	2321	1404
623	2324	1400
624	2327	1396
625	2330	1392
626	2333	1387
627	2335	1383
628	2338	1379
629	2341	1375
630	2344	1370
631	2347	1366
632	2349	1362
633	2352	1358
634	2355	1353
635	2358	1349
636	2361	1345
637	2363	1341
638	2366	1337
639	2369	1332
640	2378	1332
641	2381	1328
642	2393	1328
643	2409	1331
644	2412	1327
645	2415	1323
646	2417	1319
647	2421	1315
648	2423	1310
649	2426	1306
650	2429	1302
651	2432	1298
652	2435	1294
653	2437	1289
654	2440	1285
655	2443	1281
656	2446	1277
657	2449	1273
658	2452	1268
659	2455	1264
660	2457	1260
661	2460	1256
662	2463	1252
663	2466	1248
664	2469	1244
665	2472	1240
666	2475	1235
667	2478	1231
668	2481	1227
669	2484	1223
670	2487	1219
671	2489	1215
672	2492	1211
673	2495	1206
674	2498	1202
675	2501	1198
676	2504	1194
677	2507	1190
678	2510	1186
679	2513	1182
680	2516	1178
681	2519	1174
682	2521	1170
683	2524	1166
684	2527	1162
685	2530	1158
686	2533	1154
687	2536	1150
688	2538	1146
689	2541	1141
690	2544	1137
691	2547	1133
692	2550	1129
693	2553	1125
694	2557	1122
695	2560	1118
696	2577	1120
697	2580	1116
698	2592	1116
699	2595	1112
700	2598	1108
701	2607	1106
702	2623	1108
703	2625	1104
704	2628	1099
705	2631	1095
706	2634	1091
707	2637	1087
708	2640	1083
709	2643	1079
710	2645	1075
711	2648	1071
712	2651	1067
713	2654	1063
714	2657	1059
715	2659	1055
716	2662	1051
717	2665	1047
718	2668	1042
719	2671	1038
720	2674	1034
721	2677	1030
722	2679	1026
723	2683	1022
724	2685	1018
725	2688	1014
726	2691	1010
727	2694	1006
728	2697	1002
729	2700	998
730	2703	995
731	2706	991
732	2709	987
733	2712	983
734	2715	979
735	2718	975
736	2721	971
737	2723	967
738	2727	963
739	2729	959
740	2746	960
741	2762	960
742	2765	956
743	2768	952
744	2771	948
745	2774	944
746	2778	940
747	2780	936
748	2783	932
749	2786	928
750	2789	924
751	2792	920
752	2795	917
753	2798	913
754	2801	909
755	2804	904
756	2806	901
757	2809	896
758	2812	893
759	2815	889
760	2818	885
761	2820	881
762	2823	877
763	2839	877
764	2842	873
765	2844	869
766	2847	865
767	2850	861
768	2853	857
769	2855	853
770	2870	852
771	2873	848
772	2875	844
773	2878	840
774	2881	836
775	2884	832
776	2887	828
777	2889	824
778	2892	820
779	2895	816
780	2898	812
781	2901	808
782	2904	804
783	2907	800
784	2909	796
785	2912	793
786	2915	789
787	2918	785
788	2921	781
789	2924	777
790	2927	773
791	2931	769
792	2934	766
793	2938	762
794	2941	758
795	2944	754
796	2962	754
797	2965	750
798	2968	746
799	2971	742
800	2974	738
801	2977	735
802	2980	731
803	2982	727
804	2986	723
805	2988	719
806	2991	715
807	2994	711
808	2997	707
809	3000	703
810	3003	699
811	3005	695
812	3008	692
813	3011	688
814	3014	684
815	3017	680
816	3020	676
817	3023	672
818	3026	668
819	3029	664
820	3032	661
821	3035	657
822	3038	653
823	3040	649
824	3043	645
825	3046	641
826	3049	637
827	3052	634
828	3055	630
829	3058	626
830	3060	622
831	3064	618
832	3067	615
833	3070	611
834	3073	607
835	3076	603
836	3079	599
837	3082	595
838	3085	592
839	3088	588
840	3091	584
841	3094	580
842	3097	576
843	3100	573
844	3102	569
845	3105	565
846	3108	561
847	3112	557
848	3114	554
849	3130	552
850	3133	548
851	3136	544
852	3139	541
853	3142	537
854	3145	533
855	3148	529
856	3151	525
857	3153	521
858	3156	518
859	3159	514
860	3162	510
861	3165	506
862	3168	502
863	3170	499
864	3173	495
865	3176	491
866	3179	487
867	3182	483
868	3184	480
869	3187	476
870	3190	472
871	3193	468
872	3195	464
873	3198	461
874	3201	457
875	3204	453
876	3207	449
877	3210	446
878	3213	442
879	3215	438
880	3218	434
881	3222	431
882	3225	427
883	3228	423
884	3230	419
885	3233	416
886	3236	412
887	3239	408
888	3242	404
889	3245	401
890	3247	397
891	3250	393
892	3253	389
893	3256	386
894	3259	382
895	3262	378
896	3264	374
897	3267	371
898	3270	367
899	3273	363
900	3284	360
901	3300	358
902	3303	354
903	3307	351
904	3310	347
905	3314	343
906	3317	340
907	3320	336
908	3323	332
909	3325	328
910	3328	325
911	3332	321
912	3334	317
913	3338	314
914	3346	310
915	3349	307
916	3352	303
917	3355	299
918	3358	295
919	3361	292
920	3364	288
921	3366	284
922	3369	281
923	3372	277
924	3375	273
925	3378	269
926	3381	266
927	3384	262
928	3386	258
929	3389	255
930	3392	251
931	3395	247
932	3398	244
933	3401	240
934	3404	236
935	3406	232
936	3409	229
937	3412	225
938	3415	221
939	3418	218
940	3421	214
941	3424	210
942	3427	207
943	3429	203
944	3432	199
945	3435	196
946	3438	192
947	3441	188
948	3443	185
949	3446	181
950	3449	177
951	3452	174
952	3455	170
953	3458	166
954	3461	163
955	3464	159
956	3467	155
957	3469	152
958	3472	148
959	3475	144
960	3478	141
961	3492	137
962	3495	134
963	3498	130
964	3501	126
965	3504	123
966	3507	119
967	3523	116
968	3526	112
969	3529	109
970	3539	105
971	3542	102
972	3545	98
973	3547	94
974	3554	91
975	3557	87
976	3560	83
977	3563	80
978	3566	76
979	3569	72
980	3571	69
981	3574	65
982	3586	62
983	3588	58
984	3591	54
985	3594	51
986	3597	47
987	3600	43
988	3603	40
989	3606	36
990	3609	32
991	3611	29
992	3614	25
993	3617	21
994	3620	18
995	3623	14
996	3626	10
997	3629	7
998	3632	3
999	3635	0
