iter	MultiClass
0	1.493678068
1	1.396984107
2	1.311106247
3	1.237992511
4	1.174079465
5	1.123098393
6	1.0542735
7	1.004794167
8	0.958508308
9	0.9146144229
10	0.8758311161
11	0.84141372
12	0.7980235615
13	0.7698133742
14	0.7318044198
15	0.703687595
16	0.6733415712
17	0.6469159038
18	0.6229439143
19	0.6013102276
20	0.5805646588
21	0.5621710256
22	0.5418451728
23	0.5201383993
24	0.5072528665
25	0.4909667235
26	0.4794513767
27	0.4690265381
28	0.4556781667
29	0.4417129651
30	0.4311878087
31	0.4188513758
32	0.4070401885
33	0.3969304909
34	0.3887287444
35	0.3805169097
36	0.3719285365
37	0.3639706747
38	0.3540871292
39	0.3468379117
40	0.3411363166
41	0.3322909945
42	0.3262680776
43	0.317981845
44	0.3122999162
45	0.3047363792
46	0.2975893596
47	0.2908146002
48	0.284460816
49	0.2793195038
50	0.2750104374
51	0.2701854378
52	0.2651664757
53	0.2609686293
54	0.2565837793
55	0.2523231181
56	0.2479632905
57	0.2413289636
58	0.2355658094
59	0.231799413
60	0.2276799894
61	0.2242702725
62	0.2201530298
63	0.2159592065
64	0.2129542055
65	0.2101713433
66	0.2065907402
67	0.203561424
68	0.201246593
69	0.1968156152
70	0.1943018602
71	0.1914825424
72	0.1879690194
73	0.1851968749
74	0.1821405745
75	0.1803981001
76	0.1775390329
77	0.1750105052
78	0.1718996967
79	0.1695050325
80	0.1675345744
81	0.1642418319
82	0.1620832968
83	0.1600005355
84	0.1572096133
85	0.155345209
86	0.1532609645
87	0.1512109786
88	0.149647566
89	0.1475199913
90	0.1458487826
91	0.1436065694
92	0.1419801351
93	0.1404962454
94	0.138222977
95	0.1363518235
96	0.1337032233
97	0.1320396769
98	0.1302616335
99	0.1286527597
100	0.1270866795
101	0.1258932559
102	0.1237232968
103	0.1217953757
104	0.1202479021
105	0.1190776146
106	0.1177640649
107	0.116905848
108	0.1151544161
109	0.1139570689
110	0.112338247
111	0.1113386417
112	0.1096280224
113	0.1080535158
114	0.1070588125
115	0.106174483
116	0.1051620615
117	0.103667723
118	0.1028006142
119	0.1013649132
120	0.1000682236
121	0.09905267946
122	0.0979762179
123	0.09739635451
124	0.09640084675
125	0.0951580201
126	0.09398273201
127	0.09323966333
128	0.09217144308
129	0.09135980593
130	0.09026437691
131	0.08928077865
132	0.08839418464
133	0.08747958451
134	0.08661693244
135	0.08592512663
136	0.0848788932
137	0.08374050418
138	0.08295325653
139	0.08226809838
140	0.08160190547
141	0.080855465
142	0.0798127339
143	0.07927252732
144	0.07861223696
145	0.07764784586
146	0.07692294024
147	0.07630125501
148	0.07591927666
149	0.07496691467
150	0.07436867574
151	0.07384422675
152	0.0731815466
153	0.0727313958
154	0.07217403271
155	0.0716133082
156	0.07111026647
157	0.07063175722
158	0.06994811789
159	0.069472557
160	0.0691642695
161	0.06867649731
162	0.06836339937
163	0.06779171652
164	0.06736636861
165	0.06681332795
166	0.06644091362
167	0.06571281963
168	0.06508588216
169	0.06458622081
170	0.06397769337
171	0.06353373938
172	0.06329693133
173	0.06284563621
174	0.06235310556
175	0.06172947001
176	0.06106090299
177	0.06071710744
178	0.06039678934
179	0.05994893738
180	0.0595790498
181	0.05922801603
182	0.05855615088
183	0.05801390405
184	0.05767384958
185	0.05714330835
186	0.05677721644
187	0.05638709825
188	0.05599927248
189	0.05556111872
190	0.05521106493
191	0.05471708057
192	0.05437171522
193	0.05403169141
194	0.05373147543
195	0.0534086319
196	0.05313154126
197	0.05274630418
198	0.05246119712
199	0.05205531565
200	0.051756123
201	0.05140761095
202	0.0512407387
203	0.05092732921
204	0.05061648922
205	0.05035420057
206	0.05009382529
207	0.0496827747
208	0.04934326223
209	0.04910129385
210	0.04880781975
211	0.0484684915
212	0.04809450399
213	0.04768017581
214	0.04742686884
215	0.04705783344
216	0.04677498723
217	0.04663373442
218	0.04638123428
219	0.04614925473
220	0.04591266162
221	0.04566542265
222	0.04545204636
223	0.04517346132
224	0.04487224242
225	0.04460795763
226	0.04439012993
227	0.04423843582
228	0.04396213071
229	0.04372058935
230	0.04353047206
231	0.04337874921
232	0.04316048942
233	0.04295186258
234	0.04277440352
235	0.04247897837
236	0.04225446021
237	0.04200233783
238	0.04177859313
239	0.04160268873
240	0.04135473555
241	0.04101586957
242	0.04081382658
243	0.04053148454
244	0.04034191699
245	0.0400896354
246	0.03987969061
247	0.03958023651
248	0.03939717285
249	0.03921826145
250	0.03903941035
251	0.03883866751
252	0.03862244252
